                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.35105,                0.27258,                0.91555,                0.77053,                0.66119,                0.73532,                0.63979,                0.75795,                 1.2007,                 1.1993,               0.006733,               0.006733,               0.006733
                    101,                0.35378,                0.27325,                0.91846,                0.83881,                0.68033,                0.75533,                0.66651,                0.76809,                 1.2871,                 1.1823,                 0.0067,                 0.0067,                 0.0067
                    102,                0.35228,                 0.2709,                0.91714,                0.84087,                0.63253,                0.76613,                0.67399,                0.73946,                  1.184,                 1.1621,               0.006667,               0.006667,               0.006667
                    103,                0.35278,                0.26737,                0.91697,                 0.8952,                0.59005,                0.76864,                 0.6672,                  0.756,                 1.1988,                  1.166,               0.006634,               0.006634,               0.006634
                    104,                0.35052,                0.26843,                0.91646,                0.88499,                0.63251,                0.78048,                0.69143,                0.74092,                 1.2146,                 1.1846,               0.006601,               0.006601,               0.006601
                    105,                0.34936,                0.26286,                0.91676,                0.82989,                0.66111,                0.76835,                0.67201,                0.72423,                 1.2249,                 1.1614,               0.006568,               0.006568,               0.006568
                    106,                0.34534,                0.26237,                0.91539,                0.84049,                0.67573,                0.75715,                0.65369,                0.76616,                 1.3033,                  1.182,               0.006535,               0.006535,               0.006535
                    107,                0.34729,                0.26339,                0.91757,                 0.8948,                0.61185,                0.79122,                0.69887,                0.71718,                 1.2609,                 1.1319,               0.006502,               0.006502,               0.006502
                    108,                0.33977,                0.25782,                0.91257,                0.87839,                0.61069,                0.77471,                0.66787,                0.75658,                 1.2627,                 1.1691,               0.006469,               0.006469,               0.006469
                    109,                 0.3369,                0.25698,                0.90991,                0.83816,                0.65979,                0.77651,                0.67516,                0.73613,                 1.2974,                 1.1523,               0.006436,               0.006436,               0.006436
                    110,                0.33613,                0.25708,                0.91174,                0.82042,                0.59393,                0.74485,                0.65916,                0.72127,                 1.3179,                 1.1472,               0.006403,               0.006403,               0.006403
                    111,                0.33461,                 0.2535,                0.91122,                0.88507,                0.62216,                0.76586,                0.67863,                0.73311,                 1.3485,                 1.1739,                0.00637,                0.00637,                0.00637
                    112,                0.33678,                0.25702,                0.91294,                0.87748,                0.63928,                0.75745,                 0.6769,                  0.739,                 1.3955,                 1.1706,               0.006337,               0.006337,               0.006337
                    113,                0.33814,                0.25201,                0.91129,                0.86313,                0.63125,                0.75471,                0.66165,                0.77213,                 1.3815,                    1.2,               0.006304,               0.006304,               0.006304
                    114,                0.33076,                0.24817,                0.90784,                0.82903,                0.63641,                0.75996,                0.66613,                0.74471,                 1.3814,                 1.1739,               0.006271,               0.006271,               0.006271
